"FACULTAD DE CIENCIAS FÍSICO MATEMATICAS Y NATURALES","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIC. EN SEGURIDAD PÚBLICA- CCC","GRADO -CCC","","OCS N.° 46/2024","ESPERAR RM ","OCS N.° 46/2024 Creación de la carrera - OCS N.° 47/2024 Régimen Dictado y Correlatividades","","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN ACOMPAÑAMIENTO TERAPÉUTICO","PREGRADO","OCD N.º 8/20","OCS N.º 9/21 Y 13/21","RESOLUCIÓN MINISTERIAL N.° 3774/21","","","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN ASISTENCIA JURÍDICA","PREGRADO"," OCD N.º 9/09","OCS N.º 18/09 Y 9/16","RESOLUCIÓN MINISTERIAL N.°  1509/19 Y RM 592/18","","RM 1509/19 Rectifica reemplazando el anexo del Plan de Estudios ","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN GESTIÓN FINANCIERA ","PREGRADO","OCD N.º 15/12","OCS N.º 51/12","RESOLUCIÓN MINISTERIAL N.°  1149/15","","","","","","","","","","","","","","","","","","","","","",""
"MARTILLERO Y CORREDOR PUBLICO NACIONAL ","PREGRADO","OCD N.° 11/15","OCS N.° 61/15","RESOLUCIÓN MINISTERIAL N.° 2182/19","","","","","","","","","","","","","","","","","","","","","",""
"LIC. EN GESTIÓN Y ADMINISTRACIÓN DE INSTITUCIONES UNIV. ","GRADO- CCC","OCD N.° 9/20","OCS  N.° 8/21","RESOLUCIÓN MINISTERIAL N.° 2143/22","","","","","","","","","","","","","","","","","","","","","",""
"FACULTAD DE QUÍMICA, BIOQUÍMICA Y FARMACIA ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARRERA","NIVEL","OCD N.° ","OCS N.° ","RESOLUCIÓN MINISTERIAL N.° ","","OBSERVACIONES","","","","","","","","","","","","","","","","","","","",""
"FARMACIA","GRADO","OCD N.° 18/2024","OCS N.º 9/2025","RESOLUCIÓN MINISTERIAL N.° 834/17 ","RES. CONEAU N.° 703/15","OCD N.° 18/2024 modifica el Plan de Estudios- OCS N.° 10/2025 Ratifica Plan de Transición y OCS N.° 11/2025 Ratifica Reg. Correlatividades.","","","","","","","","","","","","","","","","","","","",""
"INGENIERÍA EN ALIMENTOS","GRADO","OCD N.° 12/2023","OCS N.º 60/23","RESOLUCIÓN MINISTERIAL N.° 1745/15","RES. CONEAU N.° 559/11","OCD N.° 12/2023 modifica el Plan de Estudios 38/11- OCS N.° 60/2023 - OCS 6/24 Ratifica Reg. correlatividades y OCS N.° 5/24 Ratifica Plan Trancición. ","","","","","","","","","","","","","","","","","","","",""
